                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9117,                 4.1759,                 1.8968,                0.00317,                   0.95,                0.00339,                  0.002,                 1.2954,                 4.2226,                 1.6992,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.3128,                 3.0766,                 1.2699,                0.00333,                      1,                0.47364,                0.33225,                 1.0777,                 3.8415,                 1.2487,             0.00017822,             0.00017822,             0.00017822
                      3,                 1.3252,                 1.9541,                 1.2196,                0.00333,                      1,                  0.995,                0.61895,                 1.2032,                 3.0584,                 1.0227,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.3401,                 1.5873,                 1.1496,                0.00333,                      1,                  0.995,                0.53926,                 1.3338,                 3.1923,                  1.107,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.1943,                 1.5551,                 1.0911,                0.07096,                      1,                  0.995,                0.61974,                 1.2968,                 2.9242,                  1.148,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.3516,                 1.5343,                 1.2234,                0.00333,                      1,                0.74622,                0.23517,                 1.9121,                 3.8713,                 1.5092,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.3343,                 1.4175,                 1.1571,                0.98186,                      1,                  0.995,                0.51845,                 1.5788,                 2.8758,                 1.3612,             0.00063961,             0.00063961,             0.00063961
                      8,                  1.215,                 1.3624,                 1.1213,                0.98339,                      1,                  0.995,                0.59916,                 1.4012,                 2.4592,                 1.0938,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.1451,                 1.3531,                 1.1008,                0.99232,                      1,                  0.995,                0.56665,                 1.4973,                 2.2348,                 1.2263,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.3986,                 1.3426,                 1.1868,                0.99226,                      1,                  0.995,                0.63103,                 1.3497,                  2.176,                 1.1982,             0.00089268,             0.00089268,             0.00089268
                     11,                 1.2341,                 1.3679,                 1.1225,                0.99329,                      1,                  0.995,                0.61131,                  1.396,                 2.2049,                 1.2129,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.2149,                 1.2575,                 1.1146,                0.99256,                      1,                  0.995,                 0.6205,                 1.3298,                 1.9892,                 1.0959,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.1686,                 1.2299,                 1.0878,                0.99301,                      1,                  0.995,                0.62717,                 1.2928,                 1.8867,                 1.0751,              0.0011279,              0.0011279,              0.0011279
                     14,                 1.1822,                 1.2313,                 1.1385,                0.99577,                      1,                  0.995,                 0.6116,                 1.3805,                 1.7689,                 1.2966,              0.0012024,              0.0012024,              0.0012024
                     15,                 1.1537,                 1.2347,                 1.1645,                0.99726,                      1,                  0.995,                0.62464,                 1.3726,                 1.9605,                 1.1895,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.1888,                 1.1755,                 1.1434,                0.99601,                      1,                  0.995,                0.55186,                 1.5179,                 1.8889,                 1.3228,              0.0013454,              0.0013454,              0.0013454
                     17,                 1.1708,                 1.1623,                 1.0933,                0.99734,                      1,                  0.995,                0.62655,                 1.2383,                  1.585,                 1.0526,              0.0014139,              0.0014139,              0.0014139
